Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070345,2007,06,16,4.0,1,N
IDCJAC0009,070345,2007,06,17,0.0,,N
IDCJAC0009,070345,2007,06,18,0.0,,N
IDCJAC0009,070345,2007,06,19,0.0,,N
IDCJAC0009,070345,2007,06,20,13.2,1,N
IDCJAC0009,070345,2007,06,21,0.4,1,N
IDCJAC0009,070345,2007,06,22,0.0,,N
IDCJAC0009,070345,2007,06,23,0.0,,N
IDCJAC0009,070345,2007,06,24,0.0,,N
IDCJAC0009,070345,2007,06,25,0.0,,N
IDCJAC0009,070345,2007,06,26,28.0,1,N
IDCJAC0009,070345,2007,06,27,4.0,1,N
IDCJAC0009,070345,2007,06,28,4.4,1,N
IDCJAC0009,070345,2007,06,29,0.0,,N
IDCJAC0009,070345,2007,06,30,4.2,1,N
IDCJAC0009,070345,2007,07,01,0.0,,N
IDCJAC0009,070345,2007,07,02,4.0,1,N
IDCJAC0009,070345,2007,07,03,4.4,1,N
IDCJAC0009,070345,2007,07,04,6.0,1,N
IDCJAC0009,070345,2007,07,05,,,
IDCJAC0009,070345,2007,07,06,10.0,2,N
IDCJAC0009,070345,2007,07,07,,,
IDCJAC0009,070345,2007,07,08,12.0,2,N
IDCJAC0009,070345,2007,07,09,0.0,,N
IDCJAC0009,070345,2007,07,10,0.0,,N
IDCJAC0009,070345,2007,07,11,0.0,,N
IDCJAC0009,070345,2007,07,12,0.0,,N
IDCJAC0009,070345,2007,07,13,0.0,,N
IDCJAC0009,070345,2007,07,14,0.0,,N
IDCJAC0009,070345,2007,07,15,0.0,,N
IDCJAC0009,070345,2007,07,16,0.0,,N
IDCJAC0009,070345,2007,07,17,0.0,,N
IDCJAC0009,070345,2007,07,18,6.6,1,N
IDCJAC0009,070345,2007,07,19,0.0,,N
IDCJAC0009,070345,2007,07,20,0.0,,N
IDCJAC0009,070345,2007,07,21,0.0,,N
IDCJAC0009,070345,2007,07,22,0.0,,N
IDCJAC0009,070345,2007,07,23,0.0,,N
IDCJAC0009,070345,2007,07,24,0.0,,N
IDCJAC0009,070345,2007,07,25,0.0,,N
IDCJAC0009,070345,2007,07,26,0.0,,N
IDCJAC0009,070345,2007,07,27,5.8,1,N
IDCJAC0009,070345,2007,07,28,0.0,,N
IDCJAC0009,070345,2007,07,29,0.0,,N
IDCJAC0009,070345,2007,07,30,0.0,,N
IDCJAC0009,070345,2007,07,31,0.0,,N
IDCJAC0009,070345,2007,08,01,,,
IDCJAC0009,070345,2007,08,02,,,
IDCJAC0009,070345,2007,08,03,,,
IDCJAC0009,070345,2007,08,04,,,
IDCJAC0009,070345,2007,08,05,6.8,5,N
IDCJAC0009,070345,2007,08,06,0.0,,N
IDCJAC0009,070345,2007,08,07,0.0,,N
IDCJAC0009,070345,2007,08,08,0.0,,N
IDCJAC0009,070345,2007,08,09,0.0,,N
IDCJAC0009,070345,2007,08,10,0.0,,N
IDCJAC0009,070345,2007,08,11,0.0,,N
IDCJAC0009,070345,2007,08,12,0.0,,N
IDCJAC0009,070345,2007,08,13,0.0,,N
IDCJAC0009,070345,2007,08,14,0.0,,N
IDCJAC0009,070345,2007,08,15,0.0,,N
IDCJAC0009,070345,2007,08,16,0.0,,N
IDCJAC0009,070345,2007,08,17,2.4,1,N
IDCJAC0009,070345,2007,08,18,0.0,,N
IDCJAC0009,070345,2007,08,19,0.0,,N
IDCJAC0009,070345,2007,08,20,0.0,,N
IDCJAC0009,070345,2007,08,21,0.0,,N
IDCJAC0009,070345,2007,08,22,0.0,,N
IDCJAC0009,070345,2007,08,23,0.0,,N
IDCJAC0009,070345,2007,08,24,0.0,,N
IDCJAC0009,070345,2007,08,25,0.0,,N
IDCJAC0009,070345,2007,08,26,0.0,,N
IDCJAC0009,070345,2007,08,27,0.0,,N
IDCJAC0009,070345,2007,08,28,0.0,,N
IDCJAC0009,070345,2007,08,29,0.0,,N
IDCJAC0009,070345,2007,08,30,0.0,,N
IDCJAC0009,070345,2007,08,31,0.0,,N
IDCJAC0009,070345,2007,09,01,0.0,,N
IDCJAC0009,070345,2007,09,02,0.0,,N
IDCJAC0009,070345,2007,09,03,0.0,,N
IDCJAC0009,070345,2007,09,04,0.0,,N
IDCJAC0009,070345,2007,09,05,0.0,,N
IDCJAC0009,070345,2007,09,06,0.0,,N
IDCJAC0009,070345,2007,09,07,0.0,,N
IDCJAC0009,070345,2007,09,08,7.8,1,N
IDCJAC0009,070345,2007,09,09,0.0,,N
IDCJAC0009,070345,2007,09,10,0.0,,N
IDCJAC0009,070345,2007,09,11,3.4,1,N
IDCJAC0009,070345,2007,09,12,4.0,1,N
IDCJAC0009,070345,2007,09,13,0.0,,N
IDCJAC0009,070345,2007,09,14,0.0,,N
IDCJAC0009,070345,2007,09,15,2.0,1,N
IDCJAC0009,070345,2007,09,16,0.0,,N
IDCJAC0009,070345,2007,09,17,2.0,1,N
IDCJAC0009,070345,2007,09,18,0.0,,N
IDCJAC0009,070345,2007,09,19,0.0,,N
IDCJAC0009,070345,2007,09,20,1.5,1,N
IDCJAC0009,070345,2007,09,21,0.0,,N
IDCJAC0009,070345,2007,09,22,0.0,,N
IDCJAC0009,070345,2007,09,23,0.0,,N
IDCJAC0009,070345,2007,09,24,0.0,,N
IDCJAC0009,070345,2007,09,25,0.0,,N
IDCJAC0009,070345,2007,09,26,0.0,,N
IDCJAC0009,070345,2007,09,27,0.0,,N
IDCJAC0009,070345,2007,09,28,0.0,,N
IDCJAC0009,070345,2007,09,29,0.0,,N
IDCJAC0009,070345,2007,09,30,0.0,,N
IDCJAC0009,070345,2007,10,01,0.0,,N
IDCJAC0009,070345,2007,10,02,0.0,,N
IDCJAC0009,070345,2007,10,03,0.0,,N
IDCJAC0009,070345,2007,10,04,0.0,,N
IDCJAC0009,070345,2007,10,05,0.0,,N
IDCJAC0009,070345,2007,10,06,0.0,,N
IDCJAC0009,070345,2007,10,07,0.0,,N
IDCJAC0009,070345,2007,10,08,0.0,,N
IDCJAC0009,070345,2007,10,09,0.0,,N
IDCJAC0009,070345,2007,10,10,0.0,,N
IDCJAC0009,070345,2007,10,11,0.0,,N
IDCJAC0009,070345,2007,10,12,0.0,,N
IDCJAC0009,070345,2007,10,13,0.0,,N
IDCJAC0009,070345,2007,10,14,0.0,,N
IDCJAC0009,070345,2007,10,15,0.0,,N
IDCJAC0009,070345,2007,10,16,0.0,,N
IDCJAC0009,070345,2007,10,17,0.0,,N
IDCJAC0009,070345,2007,10,18,0.0,,N
IDCJAC0009,070345,2007,10,19,0.0,,N
IDCJAC0009,070345,2007,10,20,0.0,,N
IDCJAC0009,070345,2007,10,21,0.0,,N
IDCJAC0009,070345,2007,10,22,0.0,,N
IDCJAC0009,070345,2007,10,23,0.0,,N
IDCJAC0009,070345,2007,10,24,0.0,,N
IDCJAC0009,070345,2007,10,25,,,
IDCJAC0009,070345,2007,10,26,11.0,2,N
IDCJAC0009,070345,2007,10,27,,,
IDCJAC0009,070345,2007,10,28,,,
IDCJAC0009,070345,2007,10,29,7.5,3,N
IDCJAC0009,070345,2007,10,30,0.0,,N
IDCJAC0009,070345,2007,10,31,0.0,,N
IDCJAC0009,070345,2007,11,01,0.0,,Y
IDCJAC0009,070345,2007,11,02,4.6,1,Y
IDCJAC0009,070345,2007,11,03,,,
IDCJAC0009,070345,2007,11,04,21.0,2,Y
IDCJAC0009,070345,2007,11,05,,,
IDCJAC0009,070345,2007,11,06,,,
IDCJAC0009,070345,2007,11,07,12.0,3,Y
IDCJAC0009,070345,2007,11,08,0.0,,Y
IDCJAC0009,070345,2007,11,09,0.0,,Y
IDCJAC0009,070345,2007,11,10,0.0,,Y
IDCJAC0009,070345,2007,11,11,5.4,1,Y
IDCJAC0009,070345,2007,11,12,0.0,,Y
IDCJAC0009,070345,2007,11,13,0.0,,Y
IDCJAC0009,070345,2007,11,14,0.0,,Y
IDCJAC0009,070345,2007,11,15,0.0,,Y
IDCJAC0009,070345,2007,11,16,0.0,,Y
IDCJAC0009,070345,2007,11,17,0.0,,Y
IDCJAC0009,070345,2007,11,18,0.0,,Y
IDCJAC0009,070345,2007,11,19,2.0,1,Y
IDCJAC0009,070345,2007,11,20,0.0,,Y
IDCJAC0009,070345,2007,11,21,0.8,1,Y
IDCJAC0009,070345,2007,11,22,,,
IDCJAC0009,070345,2007,11,23,42.4,2,Y
IDCJAC0009,070345,2007,11,24,0.0,,Y
IDCJAC0009,070345,2007,11,25,2.0,1,Y
IDCJAC0009,070345,2007,11,26,0.0,,Y
IDCJAC0009,070345,2007,11,27,0.0,,Y
IDCJAC0009,070345,2007,11,28,0.0,,Y
IDCJAC0009,070345,2007,11,29,6.0,1,Y
IDCJAC0009,070345,2007,11,30,9.4,1,Y
IDCJAC0009,070345,2007,12,01,1.4,1,Y
IDCJAC0009,070345,2007,12,02,0.0,,Y
IDCJAC0009,070345,2007,12,03,0.0,,Y
IDCJAC0009,070345,2007,12,04,34.0,1,Y
IDCJAC0009,070345,2007,12,05,0.0,,Y
IDCJAC0009,070345,2007,12,06,0.0,,Y
IDCJAC0009,070345,2007,12,07,0.0,,Y
IDCJAC0009,070345,2007,12,08,7.4,1,Y
IDCJAC0009,070345,2007,12,09,0.0,,Y
IDCJAC0009,070345,2007,12,10,0.0,,Y
IDCJAC0009,070345,2007,12,11,0.0,,Y
IDCJAC0009,070345,2007,12,12,0.0,,Y
IDCJAC0009,070345,2007,12,13,0.0,,Y
IDCJAC0009,070345,2007,12,14,0.0,,Y
IDCJAC0009,070345,2007,12,15,0.0,,Y
IDCJAC0009,070345,2007,12,16,,,
IDCJAC0009,070345,2007,12,17,5.4,2,Y
IDCJAC0009,070345,2007,12,18,0.0,,Y
IDCJAC0009,070345,2007,12,19,0.0,,Y
IDCJAC0009,070345,2007,12,20,5.2,1,Y
IDCJAC0009,070345,2007,12,21,18.2,1,Y
IDCJAC0009,070345,2007,12,22,20.0,1,Y
IDCJAC0009,070345,2007,12,23,24.0,1,Y
IDCJAC0009,070345,2007,12,24,0.0,,Y
IDCJAC0009,070345,2007,12,25,0.0,,Y
IDCJAC0009,070345,2007,12,26,0.0,,Y
IDCJAC0009,070345,2007,12,27,0.0,,Y
IDCJAC0009,070345,2007,12,28,0.0,,Y
IDCJAC0009,070345,2007,12,29,0.0,,Y
IDCJAC0009,070345,2007,12,30,0.0,,Y
IDCJAC0009,070345,2007,12,31,0.0,,Y
IDCJAC0009,070345,2008,01,01,0.0,,Y
IDCJAC0009,070345,2008,01,02,0.0,,Y
IDCJAC0009,070345,2008,01,03,0.0,,Y
IDCJAC0009,070345,2008,01,04,0.0,,Y
IDCJAC0009,070345,2008,01,05,0.0,,Y
IDCJAC0009,070345,2008,01,06,0.0,,Y
IDCJAC0009,070345,2008,01,07,0.0,,Y
IDCJAC0009,070345,2008,01,08,0.0,,Y
IDCJAC0009,070345,2008,01,09,0.0,,Y
IDCJAC0009,070345,2008,01,10,0.0,,Y
IDCJAC0009,070345,2008,01,11,0.0,,Y
IDCJAC0009,070345,2008,01,12,0.0,,Y
IDCJAC0009,070345,2008,01,13,2.5,1,Y
IDCJAC0009,070345,2008,01,14,0.0,,Y
IDCJAC0009,070345,2008,01,15,0.0,,Y
IDCJAC0009,070345,2008,01,16,0.0,,Y
IDCJAC0009,070345,2008,01,17,7.0,1,Y
IDCJAC0009,070345,2008,01,18,0.0,,Y
IDCJAC0009,070345,2008,01,19,18.0,1,Y
IDCJAC0009,070345,2008,01,20,10.5,1,Y
IDCJAC0009,070345,2008,01,21,0.0,,Y
IDCJAC0009,070345,2008,01,22,0.0,,Y
IDCJAC0009,070345,2008,01,23,0.0,,Y
IDCJAC0009,070345,2008,01,24,0.0,,Y
IDCJAC0009,070345,2008,01,25,0.0,,Y
IDCJAC0009,070345,2008,01,26,0.0,,Y
IDCJAC0009,070345,2008,01,27,0.0,,Y
IDCJAC0009,070345,2008,01,28,0.0,,Y
IDCJAC0009,070345,2008,01,29,0.0,,Y
IDCJAC0009,070345,2008,01,30,0.0,,Y
IDCJAC0009,070345,2008,01,31,0.0,,Y
IDCJAC0009,070345,2008,02,01,0.0,,Y
IDCJAC0009,070345,2008,02,02,0.0,,Y
IDCJAC0009,070345,2008,02,03,0.0,,Y
IDCJAC0009,070345,2008,02,04,11.0,1,Y
IDCJAC0009,070345,2008,02,05,,,
IDCJAC0009,070345,2008,02,06,2.0,2,Y
IDCJAC0009,070345,2008,02,07,0.0,,Y
IDCJAC0009,070345,2008,02,08,0.0,,Y
IDCJAC0009,070345,2008,02,09,0.0,,Y
IDCJAC0009,070345,2008,02,10,0.0,,Y
IDCJAC0009,070345,2008,02,11,0.0,,Y
IDCJAC0009,070345,2008,02,12,15.2,1,Y
IDCJAC0009,070345,2008,02,13,1.0,1,Y
IDCJAC0009,070345,2008,02,14,0.0,,Y
IDCJAC0009,070345,2008,02,15,0.0,,Y
IDCJAC0009,070345,2008,02,16,0.0,,Y
IDCJAC0009,070345,2008,02,17,0.0,,Y
IDCJAC0009,070345,2008,02,18,0.0,,Y
IDCJAC0009,070345,2008,02,19,0.0,,Y
IDCJAC0009,070345,2008,02,20,0.0,,Y
IDCJAC0009,070345,2008,02,21,3.4,1,Y
IDCJAC0009,070345,2008,02,22,0.0,,Y
IDCJAC0009,070345,2008,02,23,0.0,,Y
IDCJAC0009,070345,2008,02,24,0.0,,Y
IDCJAC0009,070345,2008,02,25,0.0,,Y
IDCJAC0009,070345,2008,02,26,0.0,,Y
IDCJAC0009,070345,2008,02,27,0.0,,Y
IDCJAC0009,070345,2008,02,28,0.0,,Y
IDCJAC0009,070345,2008,02,29,0.0,,Y
IDCJAC0009,070345,2008,03,01,0.0,,Y
IDCJAC0009,070345,2008,03,02,0.0,,Y
IDCJAC0009,070345,2008,03,03,0.0,,Y
IDCJAC0009,070345,2008,03,04,0.0,,Y
IDCJAC0009,070345,2008,03,05,0.0,,Y
IDCJAC0009,070345,2008,03,06,0.0,,Y
IDCJAC0009,070345,2008,03,07,0.0,,Y
IDCJAC0009,070345,2008,03,08,0.0,,Y
IDCJAC0009,070345,2008,03,09,0.0,,Y
IDCJAC0009,070345,2008,03,10,0.0,,Y
IDCJAC0009,070345,2008,03,11,0.0,,Y
IDCJAC0009,070345,2008,03,12,0.0,,Y
IDCJAC0009,070345,2008,03,13,0.0,,Y
IDCJAC0009,070345,2008,03,14,0.0,,Y
IDCJAC0009,070345,2008,03,15,0.0,,Y
IDCJAC0009,070345,2008,03,16,0.0,,Y
IDCJAC0009,070345,2008,03,17,0.0,,Y
IDCJAC0009,070345,2008,03,18,0.0,,Y
IDCJAC0009,070345,2008,03,19,0.0,,Y
IDCJAC0009,070345,2008,03,20,0.0,,Y
IDCJAC0009,070345,2008,03,21,0.0,,Y
IDCJAC0009,070345,2008,03,22,0.0,,Y
IDCJAC0009,070345,2008,03,23,0.0,,Y
IDCJAC0009,070345,2008,03,24,0.0,,Y
IDCJAC0009,070345,2008,03,25,,,
IDCJAC0009,070345,2008,03,26,38.0,2,Y
IDCJAC0009,070345,2008,03,27,0.0,,Y
IDCJAC0009,070345,2008,03,28,0.0,,Y
IDCJAC0009,070345,2008,03,29,0.0,,Y
IDCJAC0009,070345,2008,03,30,0.0,,Y
IDCJAC0009,070345,2008,03,31,0.0,,Y
IDCJAC0009,070345,2008,04,01,0.0,,Y
IDCJAC0009,070345,2008,04,02,0.0,,Y
IDCJAC0009,070345,2008,04,03,2.8,1,Y
IDCJAC0009,070345,2008,04,04,0.0,,Y
IDCJAC0009,070345,2008,04,05,0.0,,Y
IDCJAC0009,070345,2008,04,06,0.0,,Y
IDCJAC0009,070345,2008,04,07,0.0,,Y
IDCJAC0009,070345,2008,04,08,0.0,,Y
IDCJAC0009,070345,2008,04,09,0.0,,Y
IDCJAC0009,070345,2008,04,10,0.0,,Y
IDCJAC0009,070345,2008,04,11,0.0,,Y
IDCJAC0009,070345,2008,04,12,0.0,,Y
IDCJAC0009,070345,2008,04,13,5.0,1,Y
IDCJAC0009,070345,2008,04,14,0.0,,Y
IDCJAC0009,070345,2008,04,15,0.0,,Y
IDCJAC0009,070345,2008,04,16,0.0,,Y
IDCJAC0009,070345,2008,04,17,0.0,,Y
IDCJAC0009,070345,2008,04,18,0.0,,Y
IDCJAC0009,070345,2008,04,19,0.0,,Y
IDCJAC0009,070345,2008,04,20,0.0,,Y
IDCJAC0009,070345,2008,04,21,0.0,,Y
IDCJAC0009,070345,2008,04,22,0.0,,Y
IDCJAC0009,070345,2008,04,23,0.0,,Y
IDCJAC0009,070345,2008,04,24,0.0,,Y
IDCJAC0009,070345,2008,04,25,0.0,,Y
IDCJAC0009,070345,2008,04,26,0.0,,Y
IDCJAC0009,070345,2008,04,27,0.0,,Y
IDCJAC0009,070345,2008,04,28,13.4,1,Y
IDCJAC0009,070345,2008,04,29,3.0,1,Y
IDCJAC0009,070345,2008,04,30,0.0,,Y
IDCJAC0009,070345,2008,05,01,0.0,,Y
IDCJAC0009,070345,2008,05,02,0.0,,Y
IDCJAC0009,070345,2008,05,03,0.0,,Y
IDCJAC0009,070345,2008,05,04,0.0,,Y
IDCJAC0009,070345,2008,05,05,0.0,,Y
IDCJAC0009,070345,2008,05,06,0.0,,Y
IDCJAC0009,070345,2008,05,07,0.0,,Y
IDCJAC0009,070345,2008,05,08,0.0,,Y
IDCJAC0009,070345,2008,05,09,0.0,,Y
IDCJAC0009,070345,2008,05,10,0.0,,Y
IDCJAC0009,070345,2008,05,11,0.0,,Y
IDCJAC0009,070345,2008,05,12,0.0,,Y
IDCJAC0009,070345,2008,05,13,0.0,,Y
IDCJAC0009,070345,2008,05,14,0.0,,Y
IDCJAC0009,070345,2008,05,15,0.0,,Y
IDCJAC0009,070345,2008,05,16,7.8,1,Y
IDCJAC0009,070345,2008,05,17,0.0,,Y
IDCJAC0009,070345,2008,05,18,3.8,1,Y
IDCJAC0009,070345,2008,05,19,1.0,1,Y
IDCJAC0009,070345,2008,05,20,0.0,,Y
IDCJAC0009,070345,2008,05,21,1.0,1,Y
IDCJAC0009,070345,2008,05,22,0.0,,Y
IDCJAC0009,070345,2008,05,23,0.0,,Y
IDCJAC0009,070345,2008,05,24,0.0,,Y
IDCJAC0009,070345,2008,05,25,0.0,,Y
IDCJAC0009,070345,2008,05,26,0.0,,Y
IDCJAC0009,070345,2008,05,27,0.0,,Y
IDCJAC0009,070345,2008,05,28,0.0,,Y
IDCJAC0009,070345,2008,05,29,0.0,,Y
IDCJAC0009,070345,2008,05,30,0.0,,Y
IDCJAC0009,070345,2008,05,31,0.0,,Y
IDCJAC0009,070345,2008,06,01,0.0,,Y
IDCJAC0009,070345,2008,06,02,0.0,,Y
IDCJAC0009,070345,2008,06,03,4.4,1,Y
IDCJAC0009,070345,2008,06,04,3.8,1,Y
IDCJAC0009,070345,2008,06,05,0.0,,Y
IDCJAC0009,070345,2008,06,06,0.0,,Y
IDCJAC0009,070345,2008,06,07,0.0,,Y
IDCJAC0009,070345,2008,06,08,0.0,,Y
IDCJAC0009,070345,2008,06,09,0.0,,Y
IDCJAC0009,070345,2008,06,10,,,
IDCJAC0009,070345,2008,06,11,17.4,2,Y
IDCJAC0009,070345,2008,06,12,0.0,,Y
IDCJAC0009,070345,2008,06,13,4.8,1,Y
IDCJAC0009,070345,2008,06,14,2.0,1,Y
IDCJAC0009,070345,2008,06,15,0.0,,Y
IDCJAC0009,070345,2008,06,16,0.0,,Y
IDCJAC0009,070345,2008,06,17,0.0,,Y
IDCJAC0009,070345,2008,06,18,0.0,,Y
IDCJAC0009,070345,2008,06,19,0.0,,Y
IDCJAC0009,070345,2008,06,20,9.0,1,Y
IDCJAC0009,070345,2008,06,21,1.0,1,Y
IDCJAC0009,070345,2008,06,22,0.0,,Y
IDCJAC0009,070345,2008,06,23,0.0,,Y
IDCJAC0009,070345,2008,06,24,0.0,,Y
IDCJAC0009,070345,2008,06,25,0.0,,Y
IDCJAC0009,070345,2008,06,26,0.0,,Y
IDCJAC0009,070345,2008,06,27,0.0,,Y
IDCJAC0009,070345,2008,06,28,0.0,,Y
IDCJAC0009,070345,2008,06,29,0.0,,Y
IDCJAC0009,070345,2008,06,30,0.0,,Y
IDCJAC0009,070345,2008,07,01,3.6,1,Y
IDCJAC0009,070345,2008,07,02,4.0,1,Y
IDCJAC0009,070345,2008,07,03,0.0,,Y
IDCJAC0009,070345,2008,07,04,0.0,,Y
IDCJAC0009,070345,2008,07,05,0.0,,Y
IDCJAC0009,070345,2008,07,06,0.0,,Y
IDCJAC0009,070345,2008,07,07,0.0,,Y
IDCJAC0009,070345,2008,07,08,14.0,1,Y
IDCJAC0009,070345,2008,07,09,1.0,1,Y
IDCJAC0009,070345,2008,07,10,0.1,1,Y
IDCJAC0009,070345,2008,07,11,8.6,1,Y
IDCJAC0009,070345,2008,07,12,0.2,1,Y
IDCJAC0009,070345,2008,07,13,0.0,,Y
IDCJAC0009,070345,2008,07,14,0.0,,Y
IDCJAC0009,070345,2008,07,15,0.0,,Y
IDCJAC0009,070345,2008,07,16,0.6,1,Y
IDCJAC0009,070345,2008,07,17,0.0,,Y
IDCJAC0009,070345,2008,07,18,2.0,1,Y
IDCJAC0009,070345,2008,07,19,0.8,1,Y
IDCJAC0009,070345,2008,07,20,0.0,,Y
IDCJAC0009,070345,2008,07,21,29.5,1,Y
IDCJAC0009,070345,2008,07,22,0.0,,Y
IDCJAC0009,070345,2008,07,23,0.0,,Y
IDCJAC0009,070345,2008,07,24,0.0,,Y
IDCJAC0009,070345,2008,07,25,0.0,,Y
IDCJAC0009,070345,2008,07,26,0.0,,Y
IDCJAC0009,070345,2008,07,27,2.0,1,Y
IDCJAC0009,070345,2008,07,28,0.0,,Y
IDCJAC0009,070345,2008,07,29,0.0,,Y
IDCJAC0009,070345,2008,07,30,0.0,,Y
IDCJAC0009,070345,2008,07,31,0.0,,Y
IDCJAC0009,070345,2008,08,01,1.6,1,Y
IDCJAC0009,070345,2008,08,02,7.0,1,Y
IDCJAC0009,070345,2008,08,03,2.0,1,Y
IDCJAC0009,070345,2008,08,04,0.0,,Y
IDCJAC0009,070345,2008,08,05,0.0,,Y
IDCJAC0009,070345,2008,08,06,5.0,1,Y
IDCJAC0009,070345,2008,08,07,0.0,,Y
IDCJAC0009,070345,2008,08,08,2.0,1,Y
IDCJAC0009,070345,2008,08,09,0.0,,Y
IDCJAC0009,070345,2008,08,10,4.0,1,Y
IDCJAC0009,070345,2008,08,11,7.2,1,Y
IDCJAC0009,070345,2008,08,12,0.0,,Y
IDCJAC0009,070345,2008,08,13,2.0,1,Y
IDCJAC0009,070345,2008,08,14,0.0,,Y
IDCJAC0009,070345,2008,08,15,1.0,1,Y
IDCJAC0009,070345,2008,08,16,0.0,,Y
IDCJAC0009,070345,2008,08,17,0.0,,Y
IDCJAC0009,070345,2008,08,18,0.0,,Y
IDCJAC0009,070345,2008,08,19,0.0,,Y
IDCJAC0009,070345,2008,08,20,0.0,,Y
IDCJAC0009,070345,2008,08,21,0.0,,Y
IDCJAC0009,070345,2008,08,22,0.0,,Y
IDCJAC0009,070345,2008,08,23,0.0,,Y
IDCJAC0009,070345,2008,08,24,0.0,,Y
IDCJAC0009,070345,2008,08,25,0.0,,Y
IDCJAC0009,070345,2008,08,26,0.0,,Y
IDCJAC0009,070345,2008,08,27,0.0,,Y
IDCJAC0009,070345,2008,08,28,0.0,,Y
IDCJAC0009,070345,2008,08,29,0.0,,Y
IDCJAC0009,070345,2008,08,30,0.0,,Y
IDCJAC0009,070345,2008,08,31,14.0,1,Y
IDCJAC0009,070345,2008,09,01,8.6,1,Y
IDCJAC0009,070345,2008,09,02,0.0,,Y
IDCJAC0009,070345,2008,09,03,0.0,,Y
IDCJAC0009,070345,2008,09,04,0.0,,Y
IDCJAC0009,070345,2008,09,05,0.0,,Y
IDCJAC0009,070345,2008,09,06,0.0,,Y
IDCJAC0009,070345,2008,09,07,0.0,,Y
IDCJAC0009,070345,2008,09,08,0.0,,Y
IDCJAC0009,070345,2008,09,09,0.0,,Y
IDCJAC0009,070345,2008,09,10,0.0,,Y
IDCJAC0009,070345,2008,09,11,0.0,,Y
IDCJAC0009,070345,2008,09,12,0.0,,Y
IDCJAC0009,070345,2008,09,13,0.0,,Y
IDCJAC0009,070345,2008,09,14,,,
IDCJAC0009,070345,2008,09,15,14.0,2,Y
IDCJAC0009,070345,2008,09,16,3.5,1,Y
IDCJAC0009,070345,2008,09,17,0.0,,Y
IDCJAC0009,070345,2008,09,18,0.0,,Y
IDCJAC0009,070345,2008,09,19,0.0,,Y
IDCJAC0009,070345,2008,09,20,0.0,,Y
IDCJAC0009,070345,2008,09,21,0.0,,Y
IDCJAC0009,070345,2008,09,22,0.0,,Y
IDCJAC0009,070345,2008,09,23,32.0,1,Y
IDCJAC0009,070345,2008,09,24,0.0,,Y
IDCJAC0009,070345,2008,09,25,0.0,,Y
IDCJAC0009,070345,2008,09,26,0.0,,Y
IDCJAC0009,070345,2008,09,27,0.0,,Y
IDCJAC0009,070345,2008,09,28,0.0,,Y
IDCJAC0009,070345,2008,09,29,0.0,,Y
IDCJAC0009,070345,2008,09,30,0.0,,Y
IDCJAC0009,070345,2008,10,01,0.0,,Y
IDCJAC0009,070345,2008,10,02,0.0,,Y
IDCJAC0009,070345,2008,10,03,0.0,,Y
IDCJAC0009,070345,2008,10,04,,,
IDCJAC0009,070345,2008,10,05,25.0,2,Y
IDCJAC0009,070345,2008,10,06,0.0,,Y
IDCJAC0009,070345,2008,10,07,0.0,,Y
IDCJAC0009,070345,2008,10,08,0.0,,Y
IDCJAC0009,070345,2008,10,09,0.0,,Y
IDCJAC0009,070345,2008,10,10,0.0,,Y
IDCJAC0009,070345,2008,10,11,0.0,,Y
IDCJAC0009,070345,2008,10,12,0.0,,Y
IDCJAC0009,070345,2008,10,13,0.0,,Y
IDCJAC0009,070345,2008,10,14,12.0,1,Y
IDCJAC0009,070345,2008,10,15,0.0,,Y
IDCJAC0009,070345,2008,10,16,0.0,,Y
IDCJAC0009,070345,2008,10,17,0.0,,Y
IDCJAC0009,070345,2008,10,18,0.0,,Y
IDCJAC0009,070345,2008,10,19,0.0,,Y
IDCJAC0009,070345,2008,10,20,0.0,,Y
IDCJAC0009,070345,2008,10,21,0.0,,Y
IDCJAC0009,070345,2008,10,22,0.0,,Y
IDCJAC0009,070345,2008,10,23,0.0,,Y
IDCJAC0009,070345,2008,10,24,0.0,,Y
IDCJAC0009,070345,2008,10,25,0.0,,Y
IDCJAC0009,070345,2008,10,26,0.0,,Y
IDCJAC0009,070345,2008,10,27,0.0,,Y
IDCJAC0009,070345,2008,10,28,0.0,,Y
IDCJAC0009,070345,2008,10,29,0.0,,Y
IDCJAC0009,070345,2008,10,30,0.0,,Y
IDCJAC0009,070345,2008,10,31,2.0,1,Y
IDCJAC0009,070345,2008,11,01,0.0,,Y
IDCJAC0009,070345,2008,11,02,0.0,,Y
IDCJAC0009,070345,2008,11,03,18.0,1,Y
IDCJAC0009,070345,2008,11,04,0.0,,Y
IDCJAC0009,070345,2008,11,05,0.0,,Y
IDCJAC0009,070345,2008,11,06,0.0,,Y
IDCJAC0009,070345,2008,11,07,0.0,,Y
IDCJAC0009,070345,2008,11,08,14.6,1,Y
IDCJAC0009,070345,2008,11,09,0.0,,Y
IDCJAC0009,070345,2008,11,10,0.0,,Y
IDCJAC0009,070345,2008,11,11,0.0,,Y
IDCJAC0009,070345,2008,11,12,0.0,,Y
IDCJAC0009,070345,2008,11,13,0.0,,Y
IDCJAC0009,070345,2008,11,14,0.0,,Y
IDCJAC0009,070345,2008,11,15,0.0,,Y
IDCJAC0009,070345,2008,11,16,0.0,,Y
IDCJAC0009,070345,2008,11,17,0.0,,Y
